,n_estimators,random_state,criterion,n_jobs,max_depth,avg_score,score_std
0,500.0,0.0,entropy,-1.0,4.0,0.176688837355,0.06015234377
1,500.0,0.0,entropy,-1.0,5.0,0.138002101771,0.0178979266416
2,500.0,0.0,entropy,-1.0,6.0,0.145960934625,0.0288294183368
3,500.0,0.0,entropy,-1.0,7.0,0.130227840365,0.021352031415
4,500.0,0.0,entropy,-1.0,8.0,0.106720484699,0.039356368809
5,500.0,0.0,entropy,-1.0,9.0,0.130781554706,0.0417018348962
6,500.0,0.0,entropy,-1.0,10.0,0.0830285575864,0.0285661622604
7,1000.0,0.0,entropy,-1.0,4.0,0.169652861738,0.0231217510732
8,1000.0,0.0,entropy,-1.0,5.0,0.153550624584,0.0387263245482
9,1000.0,0.0,entropy,-1.0,6.0,0.137817530324,0.0371583636861
10,1000.0,0.0,entropy,-1.0,7.0,0.115048460447,0.0397064580737
11,1000.0,0.0,entropy,-1.0,8.0,0.146145506072,0.0128531113053
12,1000.0,0.0,entropy,-1.0,9.0,0.122453578959,0.0288658842697
13,1000.0,0.0,entropy,-1.0,10.0,0.106535913252,0.0283201988059
14,1500.0,0.0,entropy,-1.0,4.0,0.145776363178,0.0433250302036
15,1500.0,0.0,entropy,-1.0,5.0,0.130596983259,0.0238475772235
16,1500.0,0.0,entropy,-1.0,6.0,0.122269007512,0.0209133567803
17,1500.0,0.0,entropy,-1.0,7.0,0.106351341805,0.0474163237339
18,1500.0,0.0,entropy,-1.0,8.0,0.114679317553,0.0190898228914
19,1500.0,0.0,entropy,-1.0,9.0,0.106905056146,0.0480954157677
20,1500.0,0.0,entropy,-1.0,10.0,0.0832131290335,0.0101799143059
21,2000.0,0.0,entropy,-1.0,4.0,0.137817530324,0.0496854960652
22,2000.0,0.0,entropy,-1.0,5.0,0.130781554706,0.0417018348962
23,2000.0,0.0,entropy,-1.0,6.0,0.0989462232931,0.0104980840743
24,2000.0,0.0,entropy,-1.0,7.0,0.114310174658,0.0498535257731
25,2000.0,0.0,entropy,-1.0,8.0,0.0993153661873,0.030602701869
26,2000.0,0.0,entropy,-1.0,9.0,0.0835822719277,0.023325530336
27,2000.0,0.0,entropy,-1.0,10.0,0.0987616518459,0.0435762980044
28,2500.0,0.0,entropy,-1.0,4.0,0.145960934625,0.0477668790224
29,2500.0,0.0,entropy,-1.0,5.0,0.146514648966,0.0501173677679
30,2500.0,0.0,entropy,-1.0,6.0,0.154288910372,0.0419560058509
31,2500.0,0.0,entropy,-1.0,7.0,0.130412411812,0.0118741600422
32,2500.0,0.0,entropy,-1.0,8.0,0.114679317553,0.00133659849973
33,2500.0,0.0,entropy,-1.0,9.0,0.0985770803988,0.0391040128129
34,2500.0,0.0,entropy,-1.0,10.0,0.122269007512,0.0282843301899
35,3000.0,0.0,entropy,-1.0,4.0,0.153919767478,0.0294963954037
36,3000.0,0.0,entropy,-1.0,5.0,0.153550624584,0.0278290949918
37,3000.0,0.0,entropy,-1.0,6.0,0.145960934625,0.0477668790224
38,3000.0,0.0,entropy,-1.0,7.0,0.146330077519,0.031099261974
39,3000.0,0.0,entropy,-1.0,8.0,0.129674126024,0.0765271124598
40,3000.0,0.0,entropy,-1.0,9.0,0.106351341805,0.0474163237339
41,3000.0,0.0,entropy,-1.0,10.0,0.122084436065,0.047272210763
42,3500.0,0.0,entropy,-1.0,4.0,0.161509457437,0.0869780954483
43,3500.0,0.0,entropy,-1.0,5.0,0.146330077519,0.031099261974
44,3500.0,0.0,entropy,-1.0,6.0,0.138002101771,0.0178979266416
45,3500.0,0.0,entropy,-1.0,7.0,0.130043268918,0.0389030544552
46,3500.0,0.0,entropy,-1.0,8.0,0.115048460447,0.0397064580737
47,3500.0,0.0,entropy,-1.0,9.0,0.106720484699,0.039356368809
48,3500.0,0.0,entropy,-1.0,10.0,0.130596983259,0.0238475772235
49,4000.0,0.0,entropy,-1.0,4.0,0.161694028884,0.0191334629681
50,4000.0,0.0,entropy,-1.0,5.0,0.130412411812,0.0118741600422
51,4000.0,0.0,entropy,-1.0,6.0,0.145960934625,0.0288294183368
52,4000.0,0.0,entropy,-1.0,7.0,0.161878600331,0.0209055427719
53,4000.0,0.0,entropy,-1.0,8.0,0.138002101771,0.0178979266416
54,4000.0,0.0,entropy,-1.0,9.0,0.153735196031,0.00939684397465
55,4000.0,0.0,entropy,-1.0,10.0,0.0987616518459,0.0435762980044
56,4500.0,0.0,entropy,-1.0,4.0,0.138002101771,0.0499614334554
57,4500.0,0.0,entropy,-1.0,5.0,0.122084436065,0.0388508973574
58,4500.0,0.0,entropy,-1.0,6.0,0.114494746106,0.0181194807952
59,4500.0,0.0,entropy,-1.0,7.0,0.138002101771,0.0178979266416
60,4500.0,0.0,entropy,-1.0,8.0,0.10711656337,0.0212184133101
61,4500.0,0.0,entropy,-1.0,9.0,0.0754479554937,0.0395080142867
62,4500.0,0.0,entropy,-1.0,10.0,0.114679317553,0.0381093934017
