,n_estimators,random_state,criterion,n_jobs,max_depth,avg_score,score_std
0,200.0,0.0,entropy,-1.0,3.0,0.161694028884,0.0381312723702
1,200.0,0.0,entropy,-1.0,4.0,0.138002101771,0.0499614334554
2,200.0,0.0,entropy,-1.0,5.0,0.114863889,0.0338105297699
3,300.0,0.0,entropy,-1.0,3.0,0.145960934625,0.0477668790224
4,300.0,0.0,entropy,-1.0,4.0,0.145960934625,0.0102891047566
5,300.0,0.0,entropy,-1.0,5.0,0.138002101771,0.0178979266416
6,400.0,0.0,entropy,-1.0,3.0,0.153366053137,0.0469386963071
7,400.0,0.0,entropy,-1.0,4.0,0.153550624584,0.0278290949918
8,400.0,0.0,entropy,-1.0,5.0,0.122822721853,0.0308508767342
9,500.0,0.0,entropy,-1.0,3.0,0.138371244666,0.0206735058769
10,500.0,0.0,entropy,-1.0,4.0,0.138002101771,0.0323358232154
11,500.0,0.0,entropy,-1.0,5.0,0.122269007512,0.0209133567803
12,600.0,0.0,entropy,-1.0,3.0,0.146330077519,0.0560622256976
13,600.0,0.0,entropy,-1.0,4.0,0.161509457437,0.032214312398
14,600.0,0.0,entropy,-1.0,5.0,0.146330077519,0.031099261974
15,700.0,0.0,entropy,-1.0,3.0,0.131150697601,0.0747149250954
16,700.0,0.0,entropy,-1.0,4.0,0.138186673218,0.00159762194347
17,700.0,0.0,entropy,-1.0,5.0,0.122638150406,0.0585002073414
18,800.0,0.0,entropy,-1.0,3.0,0.153550624584,0.0387263245482
19,800.0,0.0,entropy,-1.0,4.0,0.153735196031,0.0392280517816
20,800.0,0.0,entropy,-1.0,5.0,0.139109530454,0.0900137133354
21,900.0,0.0,entropy,-1.0,3.0,0.15318148169,0.0604100905525
22,900.0,0.0,entropy,-1.0,4.0,0.130227840365,0.021352031415
23,900.0,0.0,entropy,-1.0,5.0,0.154288910372,0.0498555524682
